Title,Employer,Location,Published,Job Type,URL,Description
phd position (f/m/d): assessing the interplay between wind farms and clouds,university of twente,The netherlands,Published 8 months ago,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-assessing-the-interplay-between-wind-farms-and-clouds/215468,"job descriptionthis phd project is part of the erc consolidator grant project windflow, which strives to develop groundbreaking large-eddy simulation strategies for wind farm flows. your research w..."
"phd position f/m 15 phds on tensor modelling, geometry and optimisation",inria,France,Published 8 months ago,PhD,https://academicpositions.com/ad/inria/2024/phd-position-f-m-15-phds-on-tensor-modelling-geometry-and-optimisation/215711,contract type : fixed-term contractlevel of qualifications required : graduate degree or equivalentother valued qualifications : master or equivalentfonction : phd positionlevel of experience : from 3 to 5 yearsabout the research centre or inria d...
marie-curie (msca) doctoral fellowship: phd in structural dynamics and shm,ku leuven,Belgium,Published 7 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/marie-curie-msca-doctoral-fellowship-phd-in-structural-dynamics-and-shm/216781,applications are invited for a marie-curie doctoral fellowship: https://marie-sklodowska-curie-actions.ec.europa.eu/actions/doctoral-networks this is a full-time phd post within the department of m...
phd en droit constitutionnel luxembourgeois,university of luxembourg,Luxembourg,Published 6 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-en-droit-constitutionnel-luxembourgeois/217360,"le département de droit de la faculté de droit, d'economie et de finance recherche un/e chercheur/se en formation doctorale en droit constitutionnel luxembourgeois.your role...le/la chercheur/se en..."
phd en droit constitutionnel luxembourgeois,university of luxembourg,Luxembourg,Published 6 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-en-droit-constitutionnel-luxembourgeois/217362,"le département de droit de la faculté de droit, d'economie et de finance recherche un/e chercheur/se en formation doctorale en droit constitutionnel luxembourgeois.your role...le/la chercheur/se en..."
phd researcher in learning-based control algorithms for avatar animation in dyadic interactions,ghent university,Belgium,Published 6 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/phd-researcher-in-learning-based-control-algorithms-for-avatar-animation-in-dyadic-interactions/217964,"last application date dec 31, 2024 00:00department tw05 - department of information technologycontract limited durationdegree european master's degree in computer science, artificial intelligence, or equivalentoccupancy rate 100%vacancy type resea..."
doctoral candidate (phd position) in domain adaptation for space applications,university of luxembourg,Luxembourg,Published 6 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-candidate-phd-position-in-domain-adaptation-for-space-applications/218092,"about the sntsnt is a leading international research and innovation centre in secure, reliable and trustworthy ict systems and services. we play an instrumental role in luxembourg by fueling innova..."
"doctoral positions in management in various areas of specialisation, with five-year funding for all admitted phd candidates",insead,France,Published 6 months ago,PhD,https://academicpositions.com/ad/insead/2024/doctoral-positions-in-management-in-various-areas-of-specialisation-with-five-year-funding-for-all-admitted-phd-candidates/218111,"insead, one of the world's leading and most diverse business schools, is renowned for its commitment to producing leaders who positively impact society. with campuses in europe, asia, and the middle east, insead offers its students an unparalleled..."
upcoming phd positions at the international max planck research school for molecules of life in autumn 2025,international max planck research school for molecules of life (imprs-ml),Germany,Published 5 months ago,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-molecules-of-life-imprs-ml/2024/upcoming-phd-positions-at-the-international-max-planck-research-school-for-molecules-of-life-in-autumn-2024/218174,"thanks to everyone who submitted their application! the application deadline has now passed, and the selection process started. the international max planck research school for molecules of life (imprs-ml) currently has an open call for fully fund..."
phd position on combustion instabilities of hydrogen flames,eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-combustion-instabilities-of-hydrogen-flames/218224,phd position on combustion instabilities of hydrogen flamesthe goal of this research is to investigate turbulent hydrogen-air combustion at elevated pressure. this research is relevant for decarbon...
phd student,paul scherrer institute (psi),Switzerland,Published 4 days ago,PhD,https://academicpositions.com/ad/paul-scherrer-institute/2024/phd-student/226279,"the paul scherrer institute psi is the largest research institute for natural and engineering sciences within switzerland. we perform cutting-edge research in the fields of future technologies, ene..."
junior scientist or phd position – brillouin-active photonic integrated circuitry (f/m/d),silicon austria labs (sal),Austria,Published 5 months ago,PhD,https://academicpositions.com/ad/silicon-austria-labs-sal/2024/junior-scientist-or-phd-position-brillouin-active-photonic-integrated-circuitry-f-m-d/219459,your future responsibilities we are seeking a motivated individual to join a research project in collaboration with an established industrial partner. this exciting opportunity focuses on exploring the potential of brillouin-active photonic integr...
phd position on the interaction between dental biomaterials and oral tissues,ku leuven,Belgium,Published 1 day ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-position-on-the-interaction-between-dental-biomaterials-and-oral-tissues/226370,"join our interdisciplinary network at ku leuven, consisting of the biomat (https://gbiomed.kuleuven.be/biomat) and omfs-impath research groups. the biomat research group focuses on a broad range of..."
phd position on wind turbine modelling and scanning and lidar analysis,vrije universiteit brussel (vub),Belgium,Published 5 months ago,PhD,https://academicpositions.com/ad/vrije-universiteit-brussel/2024/phd-position-on-wind-turbine-modelling-and-scanning-and-lidar-analysis/219576,"1 - working at the vubfor more than 50 years, the vrije universiteit brussel has stood for freedom, equality and solidarity, and this is very much alive on our campuses among students and staff alike. at the vub, you will find a diverse collectio..."
phd in health monitoring of aircraft structures and systems,ku leuven,Belgium,Published 5 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-in-health-monitoring-of-aircraft-structures-and-systems/219599,"applications are invited for a phd fellowship. this phd is situated in a joint project between the departments of mechanical and materials engineering of the ku leuven - campus ghent, to fully cove..."
upcoming phd positions at the cga,cologne graduate school of ageing research (cga),Germany,Published 5 months ago,PhD,https://academicpositions.com/ad/cologne-graduate-school-ageing-research-cga/2024/upcoming-phd-positions-at-the-cga/219643,thanks to all the academics who submitted their application!the application deadline has passed and the selection process started. more information for the new call-out will come up during the autumn 2025. stay tuned!call for applications for up t...
up to 8 phd positions in mathematics,university of luxembourg,Luxembourg,Published 4 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/up-to-8-phd-positions-in-mathematics/220757,"the university | about us...the geometry, representations, and algebra via computation and experimentation (grace) doctoral training unit covers a coherent set of themes in mathematics and computer..."
junior scientist (m/f/d) for machine vision,ait austrian institute of technology,Austria,Published 4 months ago,Research assistant,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-machine-vision/220897,"as austria's largest research and technology organization for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitization. to achieve our goals, we rely on our s..."
doctoral fellow - department of information technology,ghent university,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-information-technology/220966,"last application date dec 31, 2024 00:00department tw05 - department of information technologycontract limited durationdegree master’s degree in physics, electrical engineering, photonics, computer science, or a related fieldoccupancy rate 100%vac..."
phd position on high-frequency cryptographically secure circuits,ghent university,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/phd-position-on-high-frequency-cryptographically-secure-circuits/221014,"type vacature oapjob title doctoral fellowdepartment department of information technologyoccupancy rate 100%type of contract limited durationclosing date 12/31/24diploma master’s degree in electrical engineering, photonics, computer science, or a ..."
doctoral fellow - department of electronics and information systems,ghent university,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-electronics-and-information-systems/221183,"last application date dec 31, 2024 00:00department tw06 - department of electronics and information systemscontract limited durationdegree master’s degree (preferably) in master of science in computer science engineering, master of science in math..."
assistant for labs and project work combined with a phd in materials engineering (topic: vibrational fatigue in electrical applications),ku leuven,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/assistant-for-labs-and-project-work-combined-with-a-phd-in-materials-engineering-topic-vibrational-fatigue-in-electrical-applications/220798,this position belongs to the organizational unit structural materials on campus ghent (elooi-lab). the unit is part of the department of materials engineering (www.mtm.kuleuven.be). at the faculty ...
assistant for labs and project work combined with a phd in materials engineering (topic: hydrogen embrittlement),ku leuven,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/assistant-for-labs-and-project-work-combined-with-a-phd-in-materials-engineering-topic-hydrogen-embrittlement/220799,this position belongs to the organizational unit structural materials on campus ghent (elooi-lab). the unit is part of the department of materials engineering (www.mtm.kuleuven.be). at the faculty ...
phd candidate in trustworthy analysis of stochastic timed systems,university of twente,The netherlands,Published 4 months ago,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-candidate-in-trustworthy-analysis-of-stochastic-timed-systems/221472,job descriptionapplications will be evaluated on a monthly basis. the vacancy may be closed early once the positions are filled. we offer two ph.d. positions within the trusty project on “trustwort...
doctoral fellow - department of information technology,ghent university,Belgium,Published 4 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-information-technology/221502,"last application date dec 31, 2024 00:00department tw05 - department of information technologycontract limited durationdegree master's degree in computer science, artificial intelligence, bioinformatics, mathematics, or equivalentoccupancy rate 10..."
junior scientist (m/f/d) for site-specific channel modelling for 6g (including a phd thesis),ait austrian institute of technology,Austria,Published 4 months ago,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-site-specific-channel-modelling-for-6g-including-a-phd-thesis/221576,within our center for digital safety & security the research field enabling digital technologies is leading in applied 5g and beyond research of advanced reliable wireless joint communication and sensing systems for time sensitive use cases in the...
international phd program in microbiology,max planck institute for terrestrial microbiology,Germany,Published 7 hours ago,PhD,https://academicpositions.com/ad/max-planck-institute-terrestrial-microbiology/2024/international-phd-program-in-microbiology/226375,we are excited to invite applicants with a strong interest in interdisciplinary research in modern microbiology to apply for fully funded phd positions at the international max planck research school principles of microbial life. applicants should...
"phd thesis ""digital twins for transportation""",ait austrian institute of technology,Austria,Published 3 months ago,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-digital-twins-for-transportation/221693,"as austria's largest research and technology organisation for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitisation. to achieve our goals, we rely on our s..."
phd thesis “transport modelling for sustainable mobility”,ait austrian institute of technology,Austria,Published 3 months ago,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-transport-modelling-for-sustainable-mobility/221694,"as austria's largest research and technology organisation for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitisation. to achieve our goals, we rely on our s..."
"doctoral position in cybersecurity, software engineering and ai",university of luxembourg,Luxembourg,Published 3 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-position-in-cybersecurity-software-engineering-and-ai/221717,"about the sntthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the interdisciplinary centre for security, reliabili..."
phd thesis “sustainable ai in e-mobility and energy integration”,ait austrian institute of technology,Austria,Published 3 months ago,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-sustainable-ai-in-e-mobility-and-energy-integration/221752,"at the center for energy we are committed to creating cutting-edge solutions for tomorrow's transportation and energy challenges. our key projects focus on the exciting world of future transportation systems, including e-mobility, energy consumpti..."
scientist - innotract project - innovative traction systems for future automotive systems (all genders) // job-id: 132-1,silicon austria labs (sal),Austria,Published 3 months ago,PhD,https://academicpositions.com/ad/silicon-austria-labs-sal/2024/scientist-innotract-project-innovative-traction-systems-for-future-automotive-systems-all-genders-job-id-132-1/221805,"your future responsibilities the research unit ""architectures & topologies"" of the sal power electronics division focuses on new topologies for various inverters, the utilisation of newest switching devices and modules as well as the optimisation ..."
upcoming doctoral (phd) positions at the international max planck research school - biological intelligence,international max planck research school – biological intelligence (imprs-bi),Germany,Published 3 weeks ago,PhD,https://academicpositions.com/ad/international-max-planck-research-school-biological-intelligence-imprs-bi/2024/upcoming-doctoral-phd-positions-at-the-international-max-planck-research-school-biological-intelligence/221813,© mpi for biological intelligence / m. warnerthanks to all the academics who submitted their application! the application deadline has passed and the selection process started. more information for the new call-out will come up during autumn 2025....
upcoming doctoral (phd) positions at the international max planck research school - biological intelligence,international max planck research school – biological intelligence (imprs-bi),Germany,Published 3 weeks ago,PhD,https://academicpositions.com/ad/international-max-planck-research-school-biological-intelligence-imprs-bi/2024/upcoming-doctoral-phd-positions-at-the-international-max-planck-research-school-biological-intelligence/221814,© mpi for biological intelligence / m. warnerthanks to all the academics who submitted their application! the application deadline has passed and the selection process started. more information for the new call-out will come up during autumn 2025....
phd research fellowship within the lawmode project,university of luxembourg,Luxembourg,Published 3 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-research-fellowship-within-the-lawmode-project/221911,"about the fdefthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the faculty of law, economics and finance (fdef) at..."
phd in computational modelling of root-mycorhizza interfaces,university of luxembourg,Luxembourg,Published 3 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-in-computational-modelling-of-root-mycorhizza-interfaces/221912,"about the fstmthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the faculty of science, technology and medicine (fs..."
phd in 5g/6g communications,university of luxembourg,Luxembourg,Published 3 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-in-5g6g-communications/221913,"about the sntthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the interdisciplinary centre for security, reliabili..."
doctoral researcher (phd) in cyber policy,university of luxembourg,Luxembourg,Published 3 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-researcher-phd-in-cyber-policy/222044,"about the fdefthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the faculty of law, economics and finance (fdef) at..."
junior scientist (m/f/d) for the development of sustainable titanium alloy concepts (incl. the option for a phd thesis),ait austrian institute of technology,Austria,Published 3 months ago,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-the-development-of-sustainable-titanium-alloy-concepts-incl-the-option-for-a-phd-thesis/222117,"at the lkr leichtmetallkompetenzzentrum ranshofen, we are leaders in the development of sustainable materials and processing technologies. we are the primary contact in this field for industry partners in the automotive, aerospace, space, and rail..."
phd position in sensors and simulation-based training for health education,university of twente,The netherlands,Published 1 week ago,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-in-sensors-and-simulation-based-training-for-health-education/226006,"job descriptionare you ready to push the boundaries in immersive technologies, health education and adaptive learning? join us at the cardiac surgery innovations lab and life long professional lear..."
doctoral student in electrical engineering focusing on computation with neuromorphic (rram) memory elements,lund university,Sweden,Published 3 weeks ago,PhD,https://academicpositions.com/ad/lund-university/2024/doctoral-student-in-electrical-engineering-focusing-on-computation-with-neuromorphic-rram-memory-elements/225269,"lund university was founded in 1666 and is repeatedly ranked among the world’s top universities. the university has around 47 000 students and more than 8 800 staff based in lund, helsingborg and m..."
phd candidate for software architecture (f/m/d),karlsruhe institute of technology (kit),Germany,Published 6 days ago,PhD,https://academicpositions.com/ad/karlsruhe-institute-of-technology-kit/2024/phd-candidate-for-software-architecture-f-m-d/226169,karlsruhe institute of technology (kit) – the research university in the helmholtz association creates and imparts knowledge for the society and the environment. it is our goal to make significant contributions to mastering the global challenges o...
phd position in downstream bioseparation with membrane technology,ku leuven,Belgium,Published 1 month ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-position-in-downstream-bioseparation-with-membrane-technology/224486,the phd project will be carried out in the group of smart responsive separation with hybrid processes at ku leuven under the supervision of prof. dr. xing yang. we also form part of the larger proc...
max planck doctoral positions in computer and information science,cs@max planck: the max planck graduate center for computer and information science,Germany,Published 2 months ago,PhD,https://academicpositions.com/ad/cs-max-planck-the-max-planck-graduate-center-for-computer-and-information-science-1/2024/max-planck-doctoral-positions-in-computer-and-information-science/222430,"overviewcs@max planck is a highly selective doctoral program that grants admitted students full financial support to pursue doctoral research in the broad area of computer and information science, with faculty at max planck institutes and some of ..."
"phd position on “integrated photonics, electronic-photonic co-design/integration”",eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-integrated-photonics-electronic-photonic-co-designintegration/222756,"phd position on “integrated photonics, electronic-photonic co-design/integration”the integrated devices, electronics, and systems (ideas) group of eth zurich invites applications for one phd positi..."
doctoral fellow - department of internal medicine and pediatrics,ghent university,Belgium,Published 2 months ago,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-internal-medicine-and-pediatrics/222761,"last application date sep 30, 2024 00:00department ge35 - department of internal medicine and pediatricscontract limited durationdegree you hold a master’s degree (preferably) in medicine, biomedical sciences or bioscience engineeringoccupancy rat..."
phd position on “radio frequency (rf) and mm-wave integrated circuits and systems”,eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-radio-frequency-rf-and-mm-wave-integrated-circuits-and-systems/222768,"phd position on “radio frequency (rf) and mm-wave integrated circuits and systems”the integrated devices, electronics, and systems (ideas) group of eth zurich invites applications for two phd posit..."
phd position on “integrated circuit and system design for bioelectronics and biosensors”,eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-integrated-circuit-and-system-design-for-bioelectronics-and-biosensors/222769,"phd position on “integrated circuit and system design for bioelectronics and biosensors”the integrated devices, electronics, and systems (ideas) group of eth zurich invites applications for one phd..."
phd student on id10,european synchrotron radiation facility (esrf),France,Published 2 months ago,PhD,https://academicpositions.com/ad/european-synchrotron-radiation-facility-esrf/2024/phd-student-f-m-on-id10-in-the-complex-systems-and-biomedical-sciences/222612,"the european synchrotron, the esrf, is an international research centre based in grenoble, france.through its innovative engineering, pioneering scientific vision and a strong commitment from its 700 staff members, the esrf is recognised as one of..."
"phd positions in management, economics and law full scholarship, 100% english",hec paris,France,Published 1 month ago,PhD,https://academicpositions.com/ad/hec-paris/2024/phd-positions-in-management-economics-and-law-full-scholarship-100-english/222651,"founded in 1881, hec paris consistently ranks among the top research institutions in business, specialized in education and research in management. as a leading academic institution in europe and worldwide, hec paris offers a complete range of sel..."
doctoral students in networked systems security,kth royal institute of technology,Sweden,Published 2 months ago,PhD,https://academicpositions.com/ad/kth-royal-institute-of-technology/2024/doctoral-students-in-networked-systems-security/222687,project descriptionthird-cycle subject: information and communication technologieswe invite applications for doctoral student positions with the networked systems security (nss) lab at eecs/scs. we...
"upcoming fully funded phd positions in neurosciences and translational psychiatry research, including a residency/phd track option for medical doctors",international max planck research school for translational psychiatry (imprs-tp),Germany,Published 1 month ago,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-translational-psychiatry-imprs-tp/2024/upcoming-fully-funded-phd-positions-in-neurosciences-and-translational-psychiatry-research-including-a-residency-phd-track-option-for-medical-doctors/222826,thanks to all the academics who submitted their application!the application deadline has passed and the selection process started. more information for the new call-out will come up during the summer 2025. stay tuned!the international max planck r...
post-doc position in nuclear fusion materials: growth and bursting of helium bubbles in tungsten (funded by amidex),aix-marseille université,France,Published 2 months ago,PhD,https://academicpositions.com/ad/aix-marseille-universite/2024/phd-position-in-nuclear-fusion-materials-growth-and-bursting-of-helium-bubbles-in-tungsten-funded-by-amidex/222844,"researcher profile: postdoc / r2: phd holders research field(s)1: physicsmain sub research field or disciplines1: material science, nuclear materials, nanophysics, condensed matter physicsjob /offer descriptioncontext: nuclear fusion as a carbon-f..."
doctoral scholarship holder bio-electrochemistry,university of antwerp,Belgium,Published 3 days ago,PhD,https://academicpositions.com/ad/university-of-antwerp/2024/doctoral-scholarship-holder-bio-electrochemistry/226347,"let’s shape the future - university of antwerpthe university of antwerp is a dynamic, forward-thinking, european university. we offer an innovative academic education to more than 20000 students, c..."
doctoral scholarship holder signal enhancement strategies for photoelectrochemical sensors for nucleic acid-based sequences,university of antwerp,Belgium,Published 3 days ago,PhD,https://academicpositions.com/ad/university-of-antwerp/2024/doctoral-scholarship-holder-signal-enhancement-strategies-for-photoelectrochemical-sensors-for-nucleic-acid-based-sequences/226348,"let’s shape the future - university of antwerpthe university of antwerp is a dynamic, forward-thinking, european university. we offer an innovative academic education to more than 20000 students, c..."
phd thesis student (f/m) on id31 in structure of materials group,european synchrotron radiation facility (esrf),France,Published 2 months ago,PhD,https://academicpositions.com/ad/european-synchrotron-radiation-facility-esrf/2024/phd-thesis-student-f-m-on-id31-in-structure-of-materials-group/222954,"the european synchrotron, the esrf, is an international research centre based in grenoble, france.through its innovative engineering, pioneering scientific vision and a strong commitment from its 700 staff members, the esrf is recognised as one of..."
phd candidate in quantum monte carlo methods,university of luxembourg,Luxembourg,Published 2 months ago,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-candidate-in-quantum-monte-carlo-methods/222980,"about the fstmthe university of luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.the faculty of science, technology and medicine (fs..."
doctoral scholarship holder in vitro gametogenesis within the context of fertility preservation,university of antwerp,Belgium,Published 3 days ago,PhD,https://academicpositions.com/ad/university-of-antwerp/2024/doctoral-scholarship-holder-in-vitro-gametogenesis-within-the-context-of-fertility-preservation/226349,"let’s shape the future - university of antwerpthe university of antwerp is a dynamic, forward-thinking, european university. we offer an innovative academic education to more than 20000 students, c..."
phd in economics - with a full-time scholarship at diw graduate center,german institute for economic research (diw berlin),Germany,Published 1 month ago,PhD,https://academicpositions.com/ad/german-institute-for-economic-research-diw-berlin/2024/phd-in-economics-with-a-full-time-scholarship-at-diw-graduate-center/223020,"institutionthe german institute for economic research (diw berlin) is one of the leading economic research institutes in germany. we are an independent, non-profit institute involved in economic research, service and policy advice. in addition to ..."
"phd candidate for developing and building new concepts for ultra-fast, medium voltage solid-state pulse modulators",eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-candidate-for-developing-and-building-new-concepts-for-ultra-fast-medium-voltage-solid-state-pulse-modulators/223029,"phd candidate for developing and building new concepts for ultra-fast, medium voltage solid-state pulse modulatorsthe laboratory for high power electronic systems (hpe) at the department of informa..."
phd candidate in cryogenian tillites as a window into subglacial rheology,eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-candidate-in-cryogenian-tillites-as-a-window-into-subglacial-rheology/223042,phd candidate in cryogenian tillites as a window into subglacial rheologyresearch in the structural geology and tectonics group focuses on the rapidly deforming zones that define earth’s tectonic p...
phd candidate in the rheology of metasedimentary rocks,eth zürich,Switzerland,Published 2 months ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-candidate-in-the-rheology-of-metasedimentary-rocks/223121,phd candidate in the rheology of metasedimentary rocksresearch in the structural geology and tectonics group focuses on the rapidly deforming zones that define earth’s tectonic plate boundaries and...
marie-curie (msca) phd position: optimizing parameters for electromagnetic environment monitoring (isense - dc6),ku leuven,Belgium,Published 2 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/marie-curie-msca-phd-position-optimizing-parameters-for-electromagnetic-environment-monitoring-isense-dc6/223133,"at the m-group at ku leuven bruges campus, we are driving innovation in interconnected, intelligent mechatronic systems. a dedicated part of our team focuses on electromagnetic risk management, add..."
marie-curie (msca) phd position: optimizing emi monitoring through compressed sensing: reducing sensor deployment for efficient data acquisition (isense - dc5),ku leuven,Belgium,Published 2 months ago,PhD,https://academicpositions.com/ad/ku-leuven/2024/marie-curie-msca-phd-position-optimizing-emi-monitoring-through-compressed-sensing-reducing-sensor-deployment-for-efficient-data-acquisition-isense-dc5/223134,"at the m-group at ku leuven bruges campus, we are driving innovation in interconnected, intelligent mechatronic systems. a dedicated part of our team focuses on electromagnetic risk management, add..."
