Title,Employer,Location,Salary,Closing Date,URL,Description
Postdoc and PhD positions in computational neuroscience,Ghent University - Department of Information Technology - WAVES,"Ghent, Gand (BE)",https://www.ugent.be/en/work/talent/welcoming-new-staff/salaryscales/,21 Dec 2024,https://www.nature.com/naturecareers/job/12830865/postdoc-and-phd-positions-in-computational-neuroscience/?LinkSource=PremiumListing,Postdoc and PhD positions on closed-loop ultrasound neuromodulation and recording for the treatment of focal epilepsy
Post-Doctoral Fellowship in Regenerative Biology and Medicine (Lab of. Dr. Yuval Rinkevich),"The Chinese Institutes for Medical Research (CIMR), Beijing","Beijing, China",-,5 Dec 2024,https://www.nature.com/naturecareers/job/12821258/post-doctoral-fellowship-in-regenerative-biology-and-medicine-lab-of-dr-yuval-rinkevich-/?LinkSource=PremiumListing,"Positions are available for outstanding and motivated individuals with Ph.D or M.D. degrees wishing to identify principles of tissue repair and regeneration, and develop a knowledge basis for therapeutic strategies in clinical use. The candidate will explore tissue repair and regeneration at multiple levels, from the level of whole organisms to the level of single cells. We employ state-of-the-art mouse genetics, multicolor ‘Rainbow’ and Tetrachimera mouse models, surgery models in rodents, flow cytometry, single cell omics, cell & molecular biology approaches to pursue diverse questions on how tissues/organs regenerate from single stem cells, and what underlies the clinical basis of maladaptive wound repair such as chronic wounds, and organ fibrosis. Our mission is to leverage our basic findings for enhanced repair and regeneration. Our work therefore carries both basic, clinical & evolutionary implications, and has been published in Nature, Science, Nature Cell Biology, Nature Immunology, and Science Translational Medicine journals (to name a few)."
Postdoctoral Fellowships Worldwide,IBSA Foundation for scientific research,The call is open to people from research institutes and universities from all over the world.,€ 32.000,15 Jan 2025,https://www.nature.com/naturecareers/job/12821427/postdoctoral-fellowships-worldwide/?LinkSource=PremiumListing,"With the aim of promoting and allowing young and talented researchers to do great science, IBSA Foundation for scientific research offers 6 fellowships of € 32.000 in the following research fields:"
International PhD Program in Microbiology,Max Planck Institute for Terrestrial Microbiology,"Marburg, Hessen (DE)",TVöD,31 Jan 2025,https://www.nature.com/naturecareers/job/12832753/international-phd-program-in-microbiology/?LinkSource=PremiumListing,
SD-25077 – PHD CANDIDATE IN 5G/6G COGNITIVE NETWORKING,Luxembourg Institute of Science and Technology (LIST),Esch-sur-Alzette,13th month basis,31 Jan 2025,https://www.nature.com/naturecareers/job/12832751/sd-25077-phd-candidate-in-5g-6g-cognitive-networking/,
"6 PhD Positions in Berlin/Potsdam, Germany",RTG 2473/2 SynPepBio,Germany (DE),N/A,2 Jan 2025,https://www.nature.com/naturecareers/job/12832720/6-phd-positions-in-berlin-potsdam-germany/,RTG 2473/2 SynPepBio: Bioactive Peptides – Innovative Aspects of Synthesis and Biosynthesis
PhD Scholarship: Assessing marine benthic heatwaves using Essential Ocean Variables,University of Galway (NUI Galway),"Galway (County), Connacht (IE)","€25,000 per annum, [tax-exempt scholarship award]",3 Jan 2025,https://www.nature.com/naturecareers/job/12832721/phd-scholarship-assessing-marine-benthic-heatwaves-using-essential-ocean-variables/,"Application(s) are invited from suitably qualified candidates for full-time (Irish Marine Institute) funded PhD scholarship(s) starting Feb-April, 2025 affiliated to the School of Natural Sciences at the University of Galway."
PhD Student Position in Epidemiology,German Cancer Research Center in the Helmholtz Association (DKFZ),"Heidelberg, Baden-Württemberg (DE)",Doctoral salary with the usual social benefits,20 Dec 2024,https://www.nature.com/naturecareers/job/12832715/phd-student-position-in-epidemiology/,"„Research for a life without cancer“ is our mission at the German Cancer Research Center. We investigate how cancer develops, identify cancer risk factors and look for new cancer prevention strategies. We develop new methods with which tumors can be diagnosed more precisely and cancer patients can be treated more successfully. Every contribution counts – whether in research, administration or infrastructure. This is what makes our daily work so meaningful and exciting."
Doctoral Candidate (DC) / PhD Position (m/f/x),Chemnitz University of Technology (TU Chemnitz),"Chemnitz, Sachsen (DE)",TBD,9 Dec 2024,https://www.nature.com/naturecareers/job/12832621/doctoral-candidate-dc-phd-position-m-f-x-/,"The Chemnitz University of Technology is an established innovative scientific and educational institution, which takes on the challenges connected with the competition between the universities. The Chemnitz University of Technology offers attractive employment for personalities with proven scientific excellence who want to contribute to the further innovative development."
PhD Student (gn*) Computational Biology,"University Hospital of Muenster (UKM), WWU","Münster, Nordrhein-Westfalen (DE)",Salary according to TV-L 13,25 Dec 2024,https://www.nature.com/naturecareers/job/12832617/phd-student-gn-computational-biology/,Ref. Nr. 10015
PhD Student (gn*) in Genetic Epidemiology,"University Hospital of Muenster (UKM), WWU","Münster, Nordrhein-Westfalen (DE)",Salary according to TV-L 13,26 Jan 2025,https://www.nature.com/naturecareers/job/12832616/phd-student-gn-in-genetic-epidemiology/,PhD Student (gn*) in Genetic Epidemiology
PhD Student (gn*) Pharmacoepidemiology,"University Hospital of Muenster (UKM), WWU","Münster, Nordrhein-Westfalen (DE)",Salary according to German TV-L,26 Jan 2025,https://www.nature.com/naturecareers/job/12832615/phd-student-gn-pharmacoepidemiology/,Ref. Nr. 9999
Marie Curie (MSCA) PhD Student in Microbiome Research with a Bioinformatic Focus,Universitätsmedizin Frankfurt,"Frankfurt am Main, Hessen (DE)",-,15 Dec 2024,https://www.nature.com/naturecareers/job/12832591/marie-curie-msca-phd-student-in-microbiome-research-with-a-bioinformatic-focus/,
Fabrication of Novel Materials and Devices for CO2 Reduction,Aarhus University (AU),"Aarhus, Midtjylland (DK)",Competitive,10 Jan 2025,https://www.nature.com/naturecareers/job/12832590/fabrication-of-novel-materials-and-devices-for-co2-reduction/,Share this job
PhD Position in Environmental Epidemiology and Reproductive Health,University of Southern Denmark (SDU),"Odense, Fyn (DK)",Competitive,1 Jan 2025,https://www.nature.com/naturecareers/job/12832579/phd-position-in-environmental-epidemiology-and-reproductive-health/,"Project Overview
We invite applications for a funded PhD position in a cutting-edge research project examining the impact of maternal exposure to air pollution on male reproductive health. Using advanced geospatial methods, this project explores the effects of air pollution exposure during pregnancy on outcomes such as testicular cancer, genital malformations, and fertility rates in grown-up sons. By developing new causal inference methodologies applied to nationwide registry data, the project aims to create a geographical risk map of Denmark and potentially other regions, providing new insights into the environmental determinants of male reproductive health."
The 2025 Louisa Gross Horwitz Prize for Biology or Biochemistry,Columbia University Creative,"New York City, New York (US)",n/a,25 Jan 2025,https://www.nature.com/naturecareers/job/12832419/the-2025-louisa-gross-horwitz-prize-for-biology-or-biochemistry/,"The Louisa Gross Horwitz Prize was established under the will of the late S. Gross Horwitz through a bequest to Columbia University and is named to honor the donor’s mother. Louisa Gross Horwitz was the daughter of Dr. Samuel David Gross (1805–1889), a prominent surgeon of Philadelphia and author of the outstanding Systems of Surgery, who served as president of the American Medical Association"
PhD Position (m/f/div) in Megakaryocyte Biology,Universitätsklinikum Würzburg,"Würzburg (Stadt), Bayern (DE)",-,15 Dec 2024,https://www.nature.com/naturecareers/job/12832562/phd-position-m-f-div-in-megakaryocyte-biology/,"Application deadline: December 15, 2024"
Postdoctoral Fellow (m/w/d) - Institut für Klinische Chemie und Pathobiochemie,Klinikum rechts der Isar der Technischen Universität München,"Munich (Stadt), Bayern (DE)","""-""",24 Jan 2025,https://www.nature.com/naturecareers/job/12832550/postdoctoral-fellow-m-w-d-institut-fuer-klinische-chemie-und-pathobiochemie/,Postdoctoral Fellow (m/w/d) – Institut für Klinische Chemie und Pathobiochemie
PhD student positions in Synthetic Biomaterials and Neuroregeneration,Johannes Gutenberg University Mainz - Departments of Biology and Chemistry,"Mainz, Rheinland-Pfalz (DE)",PhD salary according to German TV-L salary scale,23 Jan 2025,https://www.nature.com/naturecareers/job/12832541/phd-student-positions-in-synthetic-biomaterials-and-neuroregeneration/,"Four PhD student positions in Chemistry, Polymer Research, DNA Nanoscience and Neuroregeneration are available within our newly funded Carl Zeiss Stiftung initiative InteReg.
InteReg is an interdisciplinary research consortium, whose mission is to develop therapeutic solutions based on interactive biomaterials to treat neurodegenerative diseases such as multiple sclerosis and traumatic injuries such as brain and spinal cord injuries.
We are recruiting PhD students, who will work in project teams across disciplines. These PhD positions are fully funded by the Carl Zeiss Stiftung and will start at the earliest in January 2025. Positions are currently available in the groups of Andreas Walther, Claire Jacob, Martin Heine and Katharina Landfester."
SD-25117 PHD ON FOREST SOIL DROUGHT AND SOIL MICROBIAL PHYSIOLOGY AND CARBON PERSISTENCE,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,21 Jan 2025,https://www.nature.com/naturecareers/job/12832490/sd-25117-phd-on-forest-soil-drought-and-soil-microbial-physiology-and-carbon-persistence/,Temporary contract | up to 48 months (14 months initial contract) | Belvaux Are you passionate about research? So are we! Come and join us
PhD Position at the Computational Neurobiology Lab,VIB,Antwerp,Not specified,21 Dec 2024,https://www.nature.com/naturecareers/job/12832480/phd-position-at-the-computational-neurobiology-lab/,
SD-25117 PHD ON FOREST SOIL DROUGHT AND SOIL MICROBIAL PHYSIOLOGY AND CARBON PERSISTENCE,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,21 Jan 2025,https://www.nature.com/naturecareers/job/12832477/sd-25117-phd-on-forest-soil-drought-and-soil-microbial-physiology-and-carbon-persistence/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By generating relevant scientific knowledge and converting knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
Tenured/Tenure-Track Faculty Positions in Neural Engineering Department of Biomedical Engineering,New York University (NYU),"Brooklyn, New York","$120,000 - $205,000",19 Jan 2025,https://www.nature.com/naturecareers/job/12832414/tenured-tenure-track-faculty-positions-in-neural-engineering-department-of-biomedical-engineering/,"The Department of Biomedical Engineering at the NYU Tandon School of Engineering invites applications for a tenured/tenure track faculty position at the Assistant, Associate, or Full Professor level with a focus on Neural Engineering. This search is part of the Health Engineering cluster hire at NYU Tandon, a strategic effort to invest in research and development of health-related technologies. More information about NYU’s broader Faculty Cluster Hiring Initiative can be found here. The expected starting date is September 1, 2025."
SD-25015 PHD STUDENT – NEW VITRIMERS SYNTHESIS AND CHARACTERIZATION,Luxembourg Institute of Science and Technology (LIST),Esch-sur-Alzette,13th month basis,19 Jan 2025,https://www.nature.com/naturecareers/job/12832404/sd-25015-phd-student-new-vitrimers-synthesis-and-characterization/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
SD-25103 PHD IN HEAT AND DROUGHT-RELATED STRESS AND MORTALITY IN FORESTS,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,19 Jan 2025,https://www.nature.com/naturecareers/job/12832374/sd-25103-phd-in-heat-and-drought-related-stress-and-mortality-in-forests/,Temporary contract | up to 48 months (14 months initial contract) | Belvaux Are you passionate about research? So are we! Come and join us
SD-25103 PHD IN HEAT AND DROUGHT-RELATED STRESS AND MORTALITY IN FORESTS,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,19 Jan 2025,https://www.nature.com/naturecareers/job/12832362/sd-25103-phd-in-heat-and-drought-related-stress-and-mortality-in-forests/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By generating relevant scientific knowledge and converting knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
13 positions for PhD candidates (f/m/d),Prof. Dr. Gerd Bacher,"Duisburg, Nordrhein-Westfalen (DE)",TV-L 13,31 Dec 2024,https://www.nature.com/naturecareers/job/12832344/13-positions-for-phd-candidates-f-m-d-/?LinkSource=PremiumListing,"We are a young, innovative university in the middle of the Metropole Ruhr. Excellent in research and teaching, we think in terms of possibilities instead of limits and develop ideas with a future. We live diversity, promote potential, and are committed to educational equity worthy of the name."
2-year Postdoc in the field of Machine Learning for Earth system modelling or 3-year PhD (m/f/d),Potsdam-Institut für Klimafolgenforschung e.V. (PIK),"Potsdam, Brandenburg (DE)","German public tariff scheme (TV-L Brandenburg), salary group E 13",18 Jan 2025,https://www.nature.com/naturecareers/job/12832336/2-year-postdoc-in-the-field-of-machine-learning-for-earth-system-modelling-or-3-year-phd-m-f-d-/,"The climate needs bright minds. The Potsdam Institute for Climate Impact Research (PIK) addresses crucial scientific questions in the fields of global change, climate impacts and sustainable development. It is one of the world's leading research insti­tutions in its field and offers natural and social scientists from around the world an inspiring environment for excellent inter­disciplinary research."
Postdoctoral Researcher or a PhD candidate for a fully founded EU project (m/f/d),PWG-LMU Klinikum,"Munich (Stadt), Bayern (DE)",n.m.,17 Jan 2025,https://www.nature.com/naturecareers/job/12832298/postdoctoral-researcher-or-a-phd-candidate-for-a-fully-founded-eu-project-m-f-d-/,"The Hospital of the University of Munich, Germany, is one of the largest and most competitive university hospitals in Germany and Europe. 48 specialized hospitals, departments and institutions harbouring excellent research and education provide patient care at the highest medical level with around 11.000 employees."
"Seven PhD Positions in Infection Biology, Immunology, Microbiology, Parasitology, Epidemiology",International Max Planck Research School for Infectious Diseases and Immunology,Berlin (DE),-,3 Jan 2025,https://www.nature.com/naturecareers/job/12832294/seven-phd-positions-in-infection-biology-immunology-microbiology-parasitology-epidemiology/?LinkSource=PremiumListing,
SD-25093 – PHD IN BIOGEOCHEMISTRY,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,17 Jan 2025,https://www.nature.com/naturecareers/job/12832279/sd-25093-phd-in-biogeochemistry/,Temporary contract | up to 48 months (first initial 14 months contract) | Belvaux Are you passionate about research? So are we! Come and join us
SD-25093 – PHD IN BIOGEOCHEMISTRY,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,17 Jan 2025,https://www.nature.com/naturecareers/job/12832277/sd-25093-phd-in-biogeochemistry/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
PhD Position in Physics: Pushing the Boundaries of Optical Molecular Imaging (m/f/div),Max Planck Institute for Medical Research (MPIMF),"Heidelberg, Baden-Württemberg (DE)",TVöD,16 Dec 2024,https://www.nature.com/naturecareers/job/12832234/phd-position-in-physics-pushing-the-boundaries-of-optical-molecular-imaging-m-f-div-/?LinkSource=PremiumListing,
PhD Position in Biochemistry / Biophysics: Enabling Unique Dynamic Molecular Imaging Experiments,Max Planck Institute for Medical Research (MPIMF),"Heidelberg, Baden-Württemberg (DE)",TVöD,16 Dec 2024,https://www.nature.com/naturecareers/job/12832231/phd-position-in-biochemistry-biophysics-enabling-unique-dynamic-molecular-imaging-experiments/?LinkSource=PremiumListing,
PhD student position (Dr. rer. nat.) Project Heart and Brain,Universitätsmedizin Göttingen,"37075, Göttingen (DE)","""-""",15 Dec 2024,https://www.nature.com/naturecareers/job/12832228/phd-student-position-dr-rer-nat-project-heart-and-brain/,GRK 2824 PhD position (Dr. rer. Nat/PhD)
SD-25095 – PHD IN EXPERIMENTAL HYDROLOGY,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,14 Jan 2025,https://www.nature.com/naturecareers/job/12832217/sd-25095-phd-in-experimental-hydrology/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By generating relevant scientific knowledge and converting knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
SD-25095 – PHD IN EXPERIMENTAL HYDROLOGY,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,14 Jan 2025,https://www.nature.com/naturecareers/job/12832201/sd-25095-phd-in-experimental-hydrology/,Temporary contract | up to 48 months (14 months initial contract) | Belvaux Are you passionate about research? So are we! Come and join us
PhD in Optical Satellite Communications,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg","Luxembourg, Luxembourg (Canton)",Negotiable,13 Jan 2025,https://www.nature.com/naturecareers/job/12832181/phd-in-optical-satellite-communications/,About the SnT
PhD in Neurodegeneration NOMAD,LCSB – Luxembourg Centre for Systems Biomedicine,"Esch-sur-Alzette, Luxembourg",Negotiable,13 Jan 2025,https://www.nature.com/naturecareers/job/12832179/phd-in-neurodegeneration-nomad/,About the LCSB
Postdoctoral Scientist – RNA dynamics in cancer,CRUK,United Kingdom,"Starting salary in the range: £37,000 - £44,852 (dependent upon qualifications and experience)",15 Dec 2024,https://www.nature.com/naturecareers/job/12832111/postdoctoral-scientist-rna-dynamics-in-cancer/,Postdoctoral Scientist – RNA dynamics in cancer
Multiple PhD and Postdoc Positions (m/f/d) in Research Unit FOR5815 on Lipid Droplet Heterogeneity,Research unit FOR 5815,Germany (DE),Based on collective wage agreements,12 Jan 2025,https://www.nature.com/naturecareers/job/12832108/multiple-phd-and-postdoc-positions-m-f-d-in-research-unit-for5815-on-lipid-droplet-heterogeneity/,We are looking for highly motivated Doctoral Candidates and Postdocs to fill positions in our Research Unit on “Structural and Functional Lipid Droplet Heterogeneity” (FOR 5815) across several universities and research centers in Germany.
"Scholarship ""Hydrogen Economy – Strategic element of a future GreenGas deal""",Technische Universität Dresden (TU Dresden),Dresden,"2.300,- Euro/Monat",13 Dec 2024,https://www.nature.com/naturecareers/job/12832099/scholarship-hydrogen-economy-strategic-element-of-a-future-greengas-deal-/,"Technische Universität Dresden (TUD), as a University of Excellence, is one of the leading and most dynamic research institutions in the country. Founded in 1828, today it is a globally oriented, regionally anchored top university as it focuses on the grand challenges of the 21st century. lt develops innovative solutions for the world's most pressing issues. In research and academic programs, the university unites the natural and engineering sciences with the humanities, social sciences, and medicine. This wide range of disciplines is a special feature, facilitating interdisciplinarity and transfer of science to society. As a modern employer, it offers attractive working conditions to all employees in teaching, research, technology, and administration. The goal is to promote and develop their individual abilities while empowering everyone to reach their full potential. TUD embodies a university culture that is characterized by cosmopolitanism, mutual appreciation, thriving innovation and active participation. For TUD, diversity is an essential feature and a quality criterion of an excellent university. Accordingly, we welcome all applicants who would like to commit themselves, their achievements, and productivity to the success of the whole institution."
PhD Student (gn*),"University Hospital of Muenster (UKM), WWU","Münster, Nordrhein-Westfalen (DE)",Salary according to TV-L E13,11 Dec 2024,https://www.nature.com/naturecareers/job/12832098/phd-student-gn-/,Job Id:  9942
PhD Candidate in Autonomous Driving Systems,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg","Luxembourg, Luxembourg (Canton)",Negotiable,10 Jan 2025,https://www.nature.com/naturecareers/job/12832008/phd-candidate-in-autonomous-driving-systems/,About the SnT
PhD positions at the MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology (LMB),Cambridgeshire (GB),Competitive,3 Dec 2024,https://www.nature.com/naturecareers/job/12831975/phd-positions-at-the-mrc-laboratory-of-molecular-biology/,"Research at the LMB aims to understand the workings of complex systems, such as the immune system and the brain, and use this information to solve key problems in human health and disease. The laboratory receives sustained funding from the MRC/UKRI that allows it to focus on difficult, long-term research problems https://www2.mrc-lmb.cam.ac.uk/."
PhD position in structural biology of virus replication,Umeå University -,"Umeå, Sweden",Competitive,15 Dec 2024,https://www.nature.com/naturecareers/job/12831943/phd-position-in-structural-biology-of-virus-replication/,We are looking for a PhD student in Medical Science with an interest in molecular and structural virology. The position at the Department of Medical Biochemistry and Biophysics at Umeå University is temporary for four years to start during spring 2025 or as agreed.
SD-25192 PHD CANDIDATE - THEORETICAL INVESTIGATION OF WATER SPLITTING ON FERROELECTRIC SURFACES,Luxembourg Institute of Science and Technology (LIST),Luxembourg,3352 per month,6 Jan 2025,https://www.nature.com/naturecareers/job/12831917/sd-25192-phd-candidate-theoretical-investigation-of-water-splitting-on-ferroelectric-surfaces/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
PhD position in Multi-scale Modelling and Simulation of Polymer and Antiferromagnet Composites,The Norwegian University of Science and Technology (NTNU),"Gjøvik (Kommune), Innlandet (NO)",As a PhD candidate (code 1017) you are normally paid from gross NOK 532 200 per annum before tax.,31 Dec 2024,https://www.nature.com/naturecareers/job/12831887/phd-position-in-multi-scale-modelling-and-simulation-of-polymer-and-antiferromagnet-composites/,This is NTNU
Ph.D. student / Postdoctoral positions in Hematooncology and Cell Therapy research,University of Ostrava,"Ostrava, Czech Republic (CZ)",Competitive,4 Jan 2025,https://www.nature.com/naturecareers/job/12831838/ph-d-student-postdoctoral-positions-in-hematooncology-and-cell-therapy-research-/,Ph.D. student / Postdoctoral positions in
PhD in Evolutionary Biology,VIB,Ghent,Not specified,1 Jan 2025,https://www.nature.com/naturecareers/job/12831742/phd-in-evolutionary-biology/,
PhD Positions on Language & Genetics and Multimodal Language,Max Planck Institute for Psycholinguistics,"Nijmegen (Stad), Gelderland (NL)","€38,992.00 p/a",31 Dec 2024,https://www.nature.com/naturecareers/job/12831723/phd-positions-on-language-and-genetics-and-multimodal-language-/,Job description
PhD Position in Quantum Chemistry,University of Southern Denmark (SDU),"Odense, Fyn (DK)",Competitive,31 Dec 2024,https://www.nature.com/naturecareers/job/12831689/phd-position-in-quantum-chemistry/,"The Department of Physics, Chemistry and Pharmacy, University of Southern Denmark (SDU) in Odense invites applications for a postdoctoral position embedded in the laboratories of the Nucleic Acid Center as part of a Novo Nordisk Foundation Project Grant on peptide-oligonucleotide conjugate chemistry."
