Title,Employer,Location,Published,Closing In,Job Type,URL,Description
PhD Student in Business Tendency Surveys,KOF Swiss Economic Institute,"ETH Zurich, Switzerland",12.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_Xsca1lAhtgBsmScyus,"The KOF Swiss Economic Institute at ETH Zurich is the leading institute for applied research in economics in Switzerland. KOF has a strong collaborative environment that promotes exchange between research and administrative staff at different levels and in different functions and is committed to rigorous, applied research on policy-relevant topics with a connection to Switzerland."
"PhD position ""Novel approaches to the LISA global-fit and catalog problems""",Gravitational Physics Research Group,"ETH Zurich, Switzerland",11.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_L4lmablQ68A5Q5diMO,"In 2015, the LIGO–Virgo collaboration achieved the first detection of high-frequency gravitational radiation, confirming Einstein’s 1916 results, and establishing the existence of binaries of stellar-mass black holes."
"PhD position ""Characterizing the very-low-frequency stochastic gravitational-wave background with pulsar-timing-array observations""",Gravitational Physics,"ETH Zurich, Switzerland",11.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_6dYPuOCvuOjrvckRDN,"In 2015, the LIGO–Virgo collaboration achieved the first detection of high-frequency gravitational radiation, confirming Einstein’s 1916 results, and establishing the existence of binaries of stellar-mass black holes."
PhD Position - Structural analysis and optimisation of fully-recycled concrete structures,Department of Architecture,"ETH Zurich, Switzerland",05.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_uBnH9MUnVAD5fDkD1y,"Greenhouse gas (GHG) emissions from material extraction, manufacturing of construction products, as well as construction and renovation of buildings are estimated at 5-12% of global. Concrete, as we know it today, is one of the most relevant construction materials in terms of carbon footprint, raw materials usage, and structural usage. Huge amounts of GHG are emitted during concrete production, mainly because of the high calcination temperatures needed to produce cement clinker (about 40%) and to decarbonise limestone (about 60%). This, in total, amounts to about 8% of global CO2 emissions. Also, one m³ of concrete requires 2,6 tons of construction minerals, so concrete construction accounts for about 50% of all material extracted for. Climate-neutral concretes and applications are a global research theme of high interest, but none of the current concepts have a full net-zero-carbon impact because they bring partial and mostly fragmented solutions that cannot stand up to the technical demands of AEC."
PhD Position - Development of a computational infrastructure for the cross-disciplinary design of fully-recycled concrete structures,Department of Architecture,"ETH Zurich, Switzerland",05.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_mjupdW4i2ouQozL5Cf,"Greenhouse gas (GHG) emissions from material extraction, manufacturing of construction products, as well as construction and renovation of buildings are estimated at 5-12% of global emissions. Concrete, as we know it today, is one of the most relevant construction materials in terms of carbon footprint, raw materials usage, and structural usage. Huge amounts of GHG are emitted during concrete production, mainly because of the high calcination temperatures needed to produce cement clinker (about 40%) and to decarbonise limestone (about 60%). This, in total, amounts to about 8% of global CO2 emissions. Also, one m³ of concrete requires 2,6 tons of construction minerals, so concrete construction accounts for about 50% of all material extracted for. Climate-neutral concretes and applications are a global research theme of high interest, but none of the current concepts have a full net-zero-carbon impact because they bring partial and mostly fragmented solutions that cannot stand up to the technical demands of AEC."
PhD position in Systems and Hardware Security,Department of Information Technology and Electrical Engineering,"ETH Zurich, Switzerland",01.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_4lgjd3I4HIw6WHwJNm,The Computer Security Group is a research group in the Department of Information Technology and Electrical Engineering at ETH Zürich.
2 PhD Positions in Condition Assessment and Design Strategies for Reuse of Façade Glass and Glazing Products,"Institute of Structural Engineering, D-BAUG (Department of Civil, Environmental and Geomatic Engineering)","ETH Zurich, Switzerland",30.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_CtaTL3gZkJIDzJt1QT,"The Steel and Composite Structures Group in the Institute of Structural Engineering (IBK, Prof. Taras) has two open positions for full-time (100%) PhD students in Condition Assessment and Design Strategies for Reuse of Façade Glass and Glazing Products."
2 PhD Students in Swiss Rococo Architectural and Art History,D-ARCH,"ETH Zurich, Switzerland",24.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_jdp7MlaGAaOBEleW5v,"The Chair for the History and Theory of Architecture (Prof. dr. Maarten Delbeke) in the Institute for the History and Theory of Architecture (gta) is looking for two doctoral students to join the team for the SNSF Project “Swiss Rococo Cultures: Idioms of ornament and the architecture of East Switzerland (1700-1850)” to start February 17, 2025."
PhD Position in Atmospheric Chemistry,Department of Environmental Systems Science,"ETH Zurich, Switzerland",24.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_FKedvNnNvAWR8Bc9Nz,The Atmospheric Chemistry group at the Institute for Atmospheric and Climate Science (IAC) – ETH Zurich invites applications for a 4-year PhD position on “Exploring the lifecycle and climate effects of absorbing aerosol from fires”.
PhD Position - Development of in situ Bioprinting Technologies,Institute for Biomechanics,"ETH Zurich, Switzerland",21.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_fUydhJwohWkVeMtqu6,Articular cartilage injuries are widespread and can increase the risk of early onset osteoarthritis. The fields of tissue engineering and bioprinting are constantly searching for new methods to create biomimetic tissue models which better replicate the organization of native tissues.  Here bioprinting strategies have the potential to revolutionize the functionality of tissues used in regenerative medicine.
PhD Position in Data-Driven Nonlinear Model Reduction,Chair in Nonlinear Dynamics,"ETH Zurich, Switzerland",18.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_dyPaQtbkNsdHJiKWyv,The Chair in Nonlinear Dynamics at ETH Zürich is seeking a highly motivated PhD student in the area of data-driven model-reduction for high-dimensional nonlinear physical problems.
PhD position in Organic Chemistry/Radiochemistry,Department of Chemistry and Applied Biosciences/Center for Radiopharmaceutical Sciences,"ETH Zurich, Switzerland",14.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_ciWOHt6i2EGfOhvdVu,The Center for Radiopharmaceutical Sciences (CRS) at ETH Zurich develops new innovative radiolabelled pharmaceuticals for diagnosis and therapy. It offers state of the art infrastructure and equipment to perform research from “bench-to-bedside”.
PhD Position in Dissolution of Mg-based Silicate Minerals for Carbon Sequestration,Institute for Building Materials,"ETH Zurich, Switzerland",10.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_I6tgfz9rLUv0hhQl5H,We are looking for a motivated PhD student to work on the Dissolution of Mg-based Silicate Minerals for Carbon Sequestration.
PhD position: friction in architected materials,Institute for Building Materials,"ETH Zurich, Switzerland",04.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_ioncv7pq7Hk0meIlon,The  Computational Mechanics of Building Materials in the Institute for Building Materials at ETH Zurich has an opening for a PhD student infriction in architected materials.
2 Doctoral Fellowships in Architecture and Technology,Institute of Technology in Architecture (ITA) / Department of Architecture (D-ARCH),"ETH Zurich, Switzerland",01.10.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_GZBuFOiKhREq85SIf9,"The Architecture & Technology (A&T) Doctoral Programme is looking for exceptional candidates to join our group of 50+ international doctoral students. We are offering two paid, full-time (100%), 3.5-year doctoral fellowships to start on October 1, 2025."
Post-Doctoral Researcher - Evaluating Global Food Systems Sustainability,Laboratory of Sustainable Food Processing,"ETH Zurich, Switzerland",30.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_wTdG1xpr5YpWFwc7tO,The ETH Sustainable Food Processing Group uses a combination of innovative sustainability assessment and emerging food system approaches to target fundamental challenges in food science and society such as food security.
PhD position on combustion instabilities of hydrogen flames,"Combustion, Acoustics & Flow Physics (CAPS)","ETH Zurich, Switzerland",26.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_2aEZy9A7G93SDvIl6d,The goal of this research is to investigate turbulent hydrogen-air combustion at elevated pressure. This research is relevant for decarbonizing key technologies for power generation and aircraft propulsion by means of hydrogen combustors. The position is financed by an ERC Synergy Grant (project HYROPE).
PhD Position in Cryo-Atom Probe Tomography for Corrosion Studies,D-BAUG,"ETH Zurich, Switzerland",23.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_SHR2nxxdaTqZ0ddbcz,We are looking for a motivated PhD student to work on Cryo-Atom Probe Tomography for in-situ analysis of corrosion at the metal-electrolyte interface.
"PhD candidate for developing and building new concepts for ultra-fast, medium voltage solid-state pulse modulators",Laboratory for High Power Electronic Systems,"ETH Zurich, Switzerland",11.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_Ky4y2KhXXRvyzcIuUw,"The Laboratory for High Power Electronic Systems (HPE) at the Department of Information Technology and Electrical Engineering at ETH Zurich conducts internationally leading research on power electronic converter systems, which are required, for example, in future energy distribution systems for the integration of renewable energy sources or in traction applications/electric mobility. Another research focus is on solid-state pulse modulators for medical applications (computer tomography/cancer treatment) and accelerators (e.g. CERN). For a new research project on solid-state pulse generators, we are recruiting a: PhD candidate (100%) for developing and building new concepts for ultra-fast, medium voltage solid-state pulse modulators"
PhD Candidate in the Rheology of Metasedimentary Rocks,Institute of Geology / Department of Earth and Planetary Sciences / Structural Geology and Tectonics,"ETH Zurich, Switzerland",11.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_WeYhZeJKsf0p08jCw4,"Research in the Structural Geology and Tectonics group focuses on the rapidly deforming zones that define Earth’s tectonic plate boundaries and generate many of the planet’s geohazards. We are interested in the rates and directions in which faults and shear zones move; their geometries, widths and mechanical behaviours at depth; and the processes that shape them over geologic time."
PhD Candidate in Cryogenian Tillites as a Window into Subglacial Rheology,Institute of Geology / Department of Earth and Planetary Sciences / Structural Geology and Tectonics,"ETH Zurich, Switzerland",11.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_uXG8cFmNZ4tZgL16Ai,"Research in the Structural Geology and Tectonics group focuses on the rapidly deforming zones that define Earth’s tectonic plate boundaries and generate many of the planet’s geohazards. We are interested in the rates and directions in which faults and shear zones move; their geometries, widths and mechanical behaviours at depth; and the processes that shape them over geologic time."
"PhD Position on “Integrated Photonics, Electronic-Photonic Co-Design/Integration”",Integrated Systems Laboratory,"ETH Zurich, Switzerland",05.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_8eObEFzd516ANztqEB,"The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for one PhD position in the field of integrated photonics for next-generation communication, sensing, such as datacenter, 5G/6G, Light Detection and Ranging (LiDAR), and biomedical applications."
PhD Position on “Radio Frequency (RF) and Mm-Wave Integrated Circuits and Systems”,Integrated Systems Laboratory,"ETH Zurich, Switzerland",05.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_HTmA5nVThSbTEQVAFF,"The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for two PhD positions in the field of integrated RF/Mm-Wave circuits and systems for next-generation communication and sensing, such as 5G/6G, Space Electronics, Radar, and Imaging."
PhD Position on “Integrated Circuit and System Design for Bioelectronics and Biosensors”,Integrated Systems Laboratory,"ETH Zurich, Switzerland",05.09.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_Hvp6s7SsbVbwBORFX9,"The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for one PhD position in the field of bioelectronics and biosensors (with a focus on integrated circuit design)."
