Title,Employer,Location,Published,Closing In,Job Type,URL,Description
PhD position on combustion instabilities of hydrogen flames,ETH Zürich,"Zurich,, Switzerland",Published 2 months ago,,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-combustion-instabilities-of-hydrogen-flames/218224,PhD position on combustion instabilities of hydrogen flamesThe goal of this research is to investigate turbulent hydrogen-air combustion at elevated pressure. This research is relevant for decarbon...
PhD Student,Paul Scherrer Institute (PSI),"Villigen PSI,, Switzerland",Published 4 days ago,Closing on: 2025-01-31,PhD,https://academicpositions.com/ad/paul-scherrer-institute/2024/phd-student/226279,"The Paul Scherrer Institute PSI is the largest research institute for natural and engineering sciences within Switzerland. We perform cutting-edge research in the fields of future technologies, ene..."
Junior Scientist or PhD position – Brillouin-active Photonic Integrated Circuitry (f/m/d),Silicon Austria Labs (SAL),"Villach,, Austria",Published 5 months ago,,PhD,https://academicpositions.com/ad/silicon-austria-labs-sal/2024/junior-scientist-or-phd-position-brillouin-active-photonic-integrated-circuitry-f-m-d/219459,YOUR FUTURE RESPONSIBILITIES We are seeking a motivated individual to join a research project in collaboration with an established industrial partner. This exciting opportunity focuses on exploring the potential of Brillouin-active photonic integr...
PhD position on the interaction between dental biomaterials and oral tissues,KU Leuven,"Leuven,, Belgium",Published 1 day ago,Closing on: 2025-01-06,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-position-on-the-interaction-between-dental-biomaterials-and-oral-tissues/226370,"Join our interdisciplinary network at KU Leuven, consisting of the BIOMAT (https://gbiomed.kuleuven.be/biomat) and OMFS-IMPATH research groups. The BIOMAT research group focuses on a broad range of..."
PhD position on wind turbine modelling and scanning and lidar analysis,Vrije Universiteit Brussel (VUB),"Brussels,, Belgium",Published 5 months ago,Closing on: 2025-01-01,PhD,https://academicpositions.com/ad/vrije-universiteit-brussel/2024/phd-position-on-wind-turbine-modelling-and-scanning-and-lidar-analysis/219576,"1 - Working at the VUBFor more than 50 years, the Vrije Universiteit Brussel has stood for freedom, equality and solidarity, and this is very much alive on our campuses among students and staff alike.  At the VUB, you will find a diverse collectio..."
PhD in Health Monitoring of Aircraft Structures and Systems,KU Leuven,"Leuven,, Belgium",Published 5 months ago,Closing on: 2025-04-01,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-in-health-monitoring-of-aircraft-structures-and-systems/219599,"Applications are invited for a PhD fellowship. This PhD is situated in a joint project between the Departments of Mechanical and Materials Engineering of the KU Leuven - Campus Ghent, to fully cove..."
Upcoming PhD positions at the CGA,Cologne Graduate School of Ageing Research (CGA),"Cologne,, Germany",Published 5 months ago,,PhD,https://academicpositions.com/ad/cologne-graduate-school-ageing-research-cga/2024/upcoming-phd-positions-at-the-cga/219643,Thanks to all the academics who submitted their application!The application deadline has passed and the selection process started. More information for the new call-out will come up during the Autumn 2025. Stay tuned!Call for applications for up t...
Up to 8 PhD positions in Mathematics,University of Luxembourg,"Esch-sur-Alzette,, Luxembourg",Published 4 months ago,Closing on: 2025-07-09,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/up-to-8-phd-positions-in-mathematics/220757,"The University | About us...The Geometry, Representations, and Algebra via Computation and Experimentation (GRACE) Doctoral Training Unit covers a coherent set of themes in Mathematics and Computer..."
Junior Scientist (M/f/d) for Machine Vision,AIT Austrian Institute of Technology,"Vienna,, Austria",Published 4 months ago,,Research assistant,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-machine-vision/220897,"As Austria's largest research and technology organization for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitization. To achieve our goals, we rely on our s..."
Doctoral fellow - Department of Information Technology,Ghent University,"Ghent,, Belgium",Published 4 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-information-technology/220966,"Last application date Dec 31, 2024 00:00Department TW05 - Department of Information TechnologyContract Limited durationDegree Master’s degree in Physics, Electrical Engineering, Photonics, Computer Science, or a related fieldOccupancy rate 100%Vac..."
PhD position on high-frequency cryptographically secure circuits,Ghent University,"Ghent,, Belgium",Published 4 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/ghent-university/2024/phd-position-on-high-frequency-cryptographically-secure-circuits/221014,"Type vacature OAPJob title Doctoral fellowDepartment Department of Information TechnologyOccupancy rate 100%Type of contract Limited durationClosing date 12/31/24Diploma Master’s degree in Electrical Engineering, Photonics, Computer Science, or a ..."
Doctoral fellow - Department of Electronics and Information Systems,Ghent University,"Ghent,, Belgium",Published 4 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-electronics-and-information-systems/221183,"Last application date Dec 31, 2024 00:00Department TW06 - Department of Electronics and Information SystemsContract Limited durationDegree Master’s degree (preferably) in Master of Science in Computer Science Engineering, Master of Science in Math..."
Assistant for labs and project work combined with a PhD in materials engineering (topic: vibrational fatigue in electrical applications),KU Leuven,"Leuven,, Belgium",Published 4 months ago,Closing on: 2024-12-18,PhD,https://academicpositions.com/ad/ku-leuven/2024/assistant-for-labs-and-project-work-combined-with-a-phd-in-materials-engineering-topic-vibrational-fatigue-in-electrical-applications/220798,This position belongs to the organizational unit Structural Materials on Campus Ghent (Elooi-lab). The unit is part of the Department of Materials Engineering (www.mtm.kuleuven.be). At the Faculty ...
Assistant for labs and project work combined with a PhD in materials engineering (topic: hydrogen embrittlement),KU Leuven,"Leuven,, Belgium",Published 4 months ago,Closing on: 2024-12-18,PhD,https://academicpositions.com/ad/ku-leuven/2024/assistant-for-labs-and-project-work-combined-with-a-phd-in-materials-engineering-topic-hydrogen-embrittlement/220799,This position belongs to the organizational unit Structural Materials on Campus Ghent (Elooi-lab). The unit is part of the Department of Materials Engineering (www.mtm.kuleuven.be). At the Faculty ...
PhD Candidate in Trustworthy Analysis of Stochastic Timed Systems,University of Twente,"Enschede,, The Netherlands",Published 4 months ago,Closing on: 2025-01-31,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-candidate-in-trustworthy-analysis-of-stochastic-timed-systems/221472,Job descriptionApplications will be evaluated on a monthly basis. The vacancy may be closed early once the positions are filled. We offer two Ph.D. positions within the TruSTy project on “Trustwort...
Doctoral fellow - Department of Information Technology,Ghent University,"Ghent,, Belgium",Published 4 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-information-technology/221502,"Last application date Dec 31, 2024 00:00Department TW05 - Department of Information TechnologyContract Limited durationDegree Master's degree in computer science, artificial intelligence, bioinformatics, mathematics, or equivalentOccupancy rate 10..."
Junior Scientist (m/f/d) for site-specific channel modelling for 6G (Including a PhD Thesis),AIT Austrian Institute of Technology,"Vienna,, Austria",Published 4 months ago,,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-site-specific-channel-modelling-for-6g-including-a-phd-thesis/221576,Within our Center for Digital Safety & Security the research field Enabling Digital Technologies is leading in applied 5G and beyond research of advanced reliable wireless joint communication and sensing systems for time sensitive use cases in the...
International PhD Program in Microbiology,Max Planck Institute for Terrestrial Microbiology,"Marburg,, Germany",Published 7 hours ago,Closing on: 2025-01-31,PhD,https://academicpositions.com/ad/max-planck-institute-terrestrial-microbiology/2024/international-phd-program-in-microbiology/226375,We are excited to invite applicants with a strong interest in interdisciplinary research in modern microbiology to apply for fully funded PhD positions at the International Max Planck Research School Principles of Microbial Life. Applicants should...
"PhD Thesis ""Digital Twins for Transportation""",AIT Austrian Institute of Technology,"Vienna,, Austria",Published 3 months ago,,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-digital-twins-for-transportation/221693,"As Austria's largest research and technology organisation for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitisation. To achieve our goals, we rely on our s..."
PhD Thesis “Transport Modelling for Sustainable Mobility”,AIT Austrian Institute of Technology,"Vienna,, Austria",Published 3 months ago,,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-transport-modelling-for-sustainable-mobility/221694,"As Austria's largest research and technology organisation for applied research, we are dedicated to make substantial contributions to solving the major challenges of our time, climate change and digitisation. To achieve our goals, we rely on our s..."
"Doctoral Position in CyberSecurity, Software Engineering and AI",University of Luxembourg,Luxembourg,Published 3 months ago,Closing on: 2025-08-07,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-position-in-cybersecurity-software-engineering-and-ai/221717,"About the SnTThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Interdisciplinary Centre for Security, Reliabili..."
PhD Thesis “Sustainable AI in E-Mobility and Energy Integration”,AIT Austrian Institute of Technology,"Vienna,, Austria",Published 3 months ago,,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/phd-thesis-sustainable-ai-in-e-mobility-and-energy-integration/221752,"At the Center for Energy we are committed to creating cutting-edge solutions for tomorrow's transportation and energy challenges. Our key projects focus on the exciting world of future transportation systems, including e-mobility, energy consumpti..."
Scientist - InnoTract project - Innovative Traction Systems for Future Automotive Systems (all genders) // Job-ID: 132-1,Silicon Austria Labs (SAL),"Graz,, Austria",Published 3 months ago,,PhD,https://academicpositions.com/ad/silicon-austria-labs-sal/2024/scientist-innotract-project-innovative-traction-systems-for-future-automotive-systems-all-genders-job-id-132-1/221805,"Your future responsibilities The Research Unit ""Architectures & Topologies"" of the SAL Power Electronics Division focuses on new topologies for various inverters, the utilisation of newest switching devices and modules as well as the optimisation ..."
Upcoming doctoral (PhD) positions at the International Max Planck Research School - Biological Intelligence,International Max Planck Research School – Biological Intelligence (IMPRS-BI),"Martinsried,, Germany",Published 3 weeks ago,Closing on: 2025-08-08,PhD,https://academicpositions.com/ad/international-max-planck-research-school-biological-intelligence-imprs-bi/2024/upcoming-doctoral-phd-positions-at-the-international-max-planck-research-school-biological-intelligence/221813,© MPI for Biological Intelligence / M. WarnerThanks to all the academics who submitted their application! The application deadline has passed and the selection process started. More information for the new call-out will come up during Autumn 2025....
Upcoming doctoral (PhD) positions at the International Max Planck Research School - Biological Intelligence,International Max Planck Research School – Biological Intelligence (IMPRS-BI),"Martinsried,, Germany",Published 3 weeks ago,Closing on: 2025-08-08,PhD,https://academicpositions.com/ad/international-max-planck-research-school-biological-intelligence-imprs-bi/2024/upcoming-doctoral-phd-positions-at-the-international-max-planck-research-school-biological-intelligence/221814,© MPI for Biological Intelligence / M. WarnerThanks to all the academics who submitted their application! The application deadline has passed and the selection process started. More information for the new call-out will come up during Autumn 2025....
PhD Research Fellowship within the LawMode Project,University of Luxembourg,"Esch-sur-Alzette,, Luxembourg",Published 3 months ago,Closing on: 2025-08-13,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-research-fellowship-within-the-lawmode-project/221911,"About the FDEFThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Faculty of Law, Economics and Finance (FDEF) at..."
PhD in Computational Modelling of Root-Mycorhizza interfaces,University of Luxembourg,"Esch-sur-Alzette,, Luxembourg",Published 3 months ago,Closing on: 2025-08-13,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-in-computational-modelling-of-root-mycorhizza-interfaces/221912,"About the FSTMThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Faculty of Science, Technology and Medicine (FS..."
PhD in 5G/6G Communications,University of Luxembourg,Luxembourg,Published 3 months ago,Closing on: 2025-08-13,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-in-5g6g-communications/221913,"About the SnTThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Interdisciplinary Centre for Security, Reliabili..."
Doctoral researcher (PhD) in Cyber Policy,University of Luxembourg,Luxembourg,Published 3 months ago,Closing on: 2025-08-19,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-researcher-phd-in-cyber-policy/222044,"About the FDEFThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Faculty of Law, Economics and Finance (FDEF) at..."
Junior Scientist (m/f/d) for the Development of Sustainable Titanium Alloy Concepts (Incl. the Option for a PhD Thesis),AIT Austrian Institute of Technology,"Vienna,, Austria",Published 3 months ago,,PhD,https://academicpositions.com/ad/ait-austrian-institute-of-technology/2024/junior-scientist-m-f-d-for-the-development-of-sustainable-titanium-alloy-concepts-incl-the-option-for-a-phd-thesis/222117,"At the LKR Leichtmetallkompetenzzentrum Ranshofen, we are leaders in the development of sustainable materials and processing technologies. We are the primary contact in this field for industry partners in the automotive, aerospace, space, and rail..."
PhD position in Sensors and Simulation-Based Training for Health Education,University of Twente,"Enschede,, The Netherlands",Published 1 week ago,Closing on: 2024-12-15,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-in-sensors-and-simulation-based-training-for-health-education/226006,"Job descriptionAre you ready to push the boundaries in immersive technologies, health education and adaptive learning? Join us at the Cardiac Surgery Innovations Lab and Life Long Professional Lear..."
Doctoral student in Electrical Engineering focusing on computation with neuromorphic (RRAM) memory elements,Lund University,"Lund,, Sweden",Published 3 weeks ago,Closing in: 5 days,PhD,https://academicpositions.com/ad/lund-university/2024/doctoral-student-in-electrical-engineering-focusing-on-computation-with-neuromorphic-rram-memory-elements/225269,"Lund University was founded in 1666 and is repeatedly ranked among the world’s top universities. The University has around 47 000 students and more than 8 800 staff based in Lund, Helsingborg and M..."
PhD Candidate for Software Architecture (f/m/d),Karlsruhe Institute of Technology (KIT),"Karlsruhe,, Germany",Published 6 days ago,Closing on: 2025-01-15,PhD,https://academicpositions.com/ad/karlsruhe-institute-of-technology-kit/2024/phd-candidate-for-software-architecture-f-m-d/226169,Karlsruhe Institute of Technology (KIT) – The Research University in the Helmholtz Association creates and imparts knowledge for the society and the environment. It is our goal to make significant contributions to mastering the global challenges o...
PhD position in downstream bioseparation with membrane technology,KU Leuven,"Leuven,, Belgium",Published 1 month ago,Closing on: 2024-12-22,PhD,https://academicpositions.com/ad/ku-leuven/2024/phd-position-in-downstream-bioseparation-with-membrane-technology/224486,The PhD project will be carried out in the Group of Smart Responsive Separation with Hybrid Processes at KU Leuven under the supervision of Prof. dr. Xing Yang. We also form part of the larger Proc...
Max Planck doctoral positions in computer and information science,CS@max planck: The Max Planck Graduate Center for Computer and Information Science,"Saarbrücken,, Germany",Published 2 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/cs-max-planck-the-max-planck-graduate-center-for-computer-and-information-science-1/2024/max-planck-doctoral-positions-in-computer-and-information-science/222430,"OverviewCS@max planck is a highly selective doctoral program that grants admitted students full financial support to pursue doctoral research in the broad area of computer and information science, with faculty at Max Planck Institutes and some of ..."
"PhD Position on “Integrated Photonics, Electronic-Photonic Co-Design/Integration”",ETH Zürich,"Zurich,, Switzerland",Published 2 months ago,,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-integrated-photonics-electronic-photonic-co-designintegration/222756,"PhD Position on “Integrated Photonics, Electronic-Photonic Co-Design/Integration”The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for one PhD positi..."
Doctoral fellow - Department of Internal Medicine and Pediatrics,Ghent University,"Ghent,, Belgium",Published 2 months ago,,PhD,https://academicpositions.com/ad/ghent-university/2024/doctoral-fellow-department-of-internal-medicine-and-pediatrics/222761,"Last application date Sep 30, 2024 00:00Department GE35 - Department of Internal Medicine and PediatricsContract Limited durationDegree You hold a Master’s degree (preferably) in Medicine, Biomedical Sciences or Bioscience EngineeringOccupancy rat..."
PhD Position on “Radio Frequency (RF) and Mm-Wave Integrated Circuits and Systems”,ETH Zürich,"Zurich,, Switzerland",Published 2 months ago,,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-radio-frequency-rf-and-mm-wave-integrated-circuits-and-systems/222768,"PhD Position on “Radio Frequency (RF) and Mm-Wave Integrated Circuits and Systems”The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for two PhD posit..."
PhD Position on “Integrated Circuit and System Design for Bioelectronics and Biosensors”,ETH Zürich,"Zurich,, Switzerland",Published 2 months ago,,PhD,https://academicpositions.com/ad/eth-zurich/2024/phd-position-on-integrated-circuit-and-system-design-for-bioelectronics-and-biosensors/222769,"PhD Position on “Integrated Circuit and System Design for Bioelectronics and Biosensors”The Integrated Devices, Electronics, And Systems (IDEAS) Group of ETH Zurich invites applications for one PhD..."
PhD Student on ID10,European Synchrotron Radiation Facility (ESRF),"Grenoble,, France",Published 2 months ago,,PhD,https://academicpositions.com/ad/european-synchrotron-radiation-facility-esrf/2024/phd-student-f-m-on-id10-in-the-complex-systems-and-biomedical-sciences/222612,"The European Synchrotron, the ESRF, is an international research centre based in Grenoble, France.Through its innovative engineering, pioneering scientific vision and a strong commitment from its 700 staff members, the ESRF is recognised as one of..."
"PhD Positions in Management, Economics and Law full scholarship, 100% English",HEC Paris,"Versailles,, France",Published 1 month ago,Closing on: 2025-04-22,PhD,https://academicpositions.com/ad/hec-paris/2024/phd-positions-in-management-economics-and-law-full-scholarship-100-english/222651,"Founded in 1881, HEC Paris consistently ranks among the top research institutions in business, specialized in education and research in management. As a leading academic institution in Europe and worldwide, HEC Paris offers a complete range of sel..."
Doctoral students in Networked Systems Security,KTH Royal Institute of Technology,"Stockholm,, Sweden",Published 2 months ago,Closing on: 2024-12-23,PhD,https://academicpositions.com/ad/kth-royal-institute-of-technology/2024/doctoral-students-in-networked-systems-security/222687,Project descriptionThird-cycle subject: Information and Communication TechnologiesWe invite applications for doctoral student positions with the Networked Systems Security (NSS) lab at EECS/SCS. We...
"Upcoming fully funded PhD Positions in Neurosciences and Translational Psychiatry research, including a residency/PhD track option for medical doctors",International Max Planck Research School for Translational Psychiatry (IMPRS-TP),"Munich,, Germany",Published 1 month ago,Closing on: 2025-06-14,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-translational-psychiatry-imprs-tp/2024/upcoming-fully-funded-phd-positions-in-neurosciences-and-translational-psychiatry-research-including-a-residency-phd-track-option-for-medical-doctors/222826,Thanks to all the academics who submitted their application!The application deadline has passed and the selection process started. More information for the new call-out will come up during the Summer 2025. Stay tuned!The International Max Planck R...
Post-doc position in nuclear fusion materials: Growth and bursting of helium bubbles in tungsten (Funded by Amidex),Aix-Marseille Université,"Marseille,, France",Published 2 months ago,Closing on: 2024-12-15,PhD,https://academicpositions.com/ad/aix-marseille-universite/2024/phd-position-in-nuclear-fusion-materials-growth-and-bursting-of-helium-bubbles-in-tungsten-funded-by-amidex/222844,"RESEARCHER PROFILE: Postdoc / R2: PhD holders RESEARCH FIELD(S)1: PhysicsMAIN SUB RESEARCH FIELD OR DISCIPLINES1: Material science, Nuclear materials, NanoPhysics, Condensed matter physicsJOB /OFFER DESCRIPTIONContext: Nuclear fusion as a carbon-f..."
Doctoral scholarship holder bio-electrochemistry,University of Antwerp,"Antwerp,, Belgium",Published 3 days ago,Closing on: 2024-12-16,PhD,https://academicpositions.com/ad/university-of-antwerp/2024/doctoral-scholarship-holder-bio-electrochemistry/226347,"Let’s shape the future - University of AntwerpThe University of Antwerp is a dynamic, forward-thinking, European university. We offer an innovative academic education to more than 20000 students, c..."
